filename,label,cam
selfharm_day_1018_blue_wsh_02 - 4of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh_02 - 5of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh_02 - 6of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh_02 - 7of60,hittinghead_wall,testbed
selfharm_night_1018_blue_wsh_02 - 1of38,hittinghead_wall,testbed
selfharm_night_1018_blue_wsh_02 - 2of38,hittinghead_wall,testbed
selfharm_night_1018_blue_wsh_02 - 3of38,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh - 13of60,kicking_wall,testbed
selfharm_day_1018_blue_wsh - 14of60,kicking_wall,testbed
selfharm_day_1018_blue_wsh - 15of60,kicking_wall,testbed
selfharm_day_1018_blue_wsh - 16of60,kicking_wall,testbed
selfharm_day_1018_blue_wsh_02 - 13of60,kicking_wall,testbed
selfharm_day_1018_blue_wsh_02 - 14of60,kicking_wall,testbed
selfharm_day_1018_blue_wsh_02 - 15of60,kicking_wall,testbed
selfharm_day_1018_blue_wsh_02 - 16of60,kicking_wall,testbed
selfharm_day_1018_blue_wsh - 10of60,punching_wall,testbed
selfharm_day_1018_blue_wsh - 11of60,punching_wall,testbed
selfharm_day_1018_blue_wsh - 12of60,punching_wall,testbed
selfharm_night_1018_blue_wsh - 7of38,punching_wall,testbed
selfharm_night_1018_blue_wsh - 8of38,punching_wall,testbed
selfharm_night_1018_blue_wsh - 9of38,punching_wall,testbed
selfharm_night_1018_blue_wsh - 10of38,punching_wall,testbed
selfharm_day_1018_blue_wsh_02 - 10of60,punching_wall,testbed
selfharm_day_1018_blue_wsh_02 - 11of60,punching_wall,testbed
selfharm_day_1018_blue_wsh_02 - 12of60,punching_wall,testbed
selfharm_night_1018_blue_wsh_02 - 7of38,punching_wall,testbed
selfharm_night_1018_blue_wsh_02 - 8of38,punching_wall,testbed
selfharm_night_1018_blue_wsh_02 - 9of38,punching_wall,testbed
selfharm_night_1018_blue_wsh_02 - 10of38,punching_wall,testbed
selfharm_day_1018_blue_wsh - 30of60,selfharm_tool,testbed
selfharm_day_1018_blue_wsh_02 - 30of60,selfharm_tool,testbed
selfharm_day_1018_blue_wsh - 2of60,hittinghead_floor,testbed
selfharm_day_1018_blue_wsh - 8of60,hittinghead_floor,testbed
selfharm_day_1018_blue_wsh - 9of60,hittinghead_floor,testbed
selfharm_night_1018_blue_wsh - 4of38,hittinghead_floor,testbed
selfharm_night_1018_blue_wsh - 5of38,hittinghead_floor,testbed
selfharm_night_1018_blue_wsh - 6of38,hittinghead_floor,testbed
selfharm_day_1018_blue_wsh_02 - 2of60,hittinghead_floor,testbed
selfharm_day_1018_blue_wsh_02 - 8of60,hittinghead_floor,testbed
selfharm_day_1018_blue_wsh_02 - 9of60,hittinghead_floor,testbed
selfharm_night_1018_blue_wsh_02 - 4of38,hittinghead_floor,testbed
selfharm_night_1018_blue_wsh_02 - 5of38,hittinghead_floor,testbed
selfharm_night_1018_blue_wsh_02 - 6of38,hittinghead_floor,testbed
selfharm_day_1018_blue_wsh - 17of60,punching_floor,testbed
selfharm_day_1018_blue_wsh - 18of60,punching_floor,testbed
selfharm_day_1018_blue_wsh - 19of60,punching_floor,testbed
selfharm_night_1018_blue_wsh - 11of38,punching_floor,testbed
selfharm_night_1018_blue_wsh - 12of38,punching_floor,testbed
selfharm_night_1018_blue_wsh - 13of38,punching_floor,testbed
selfharm_day_1018_blue_wsh_02 - 17of60,punching_floor,testbed
selfharm_day_1018_blue_wsh_02 - 18of60,punching_floor,testbed
selfharm_day_1018_blue_wsh_02 - 19of60,punching_floor,testbed
selfharm_night_1018_blue_wsh_02 - 11of38,punching_floor,testbed
selfharm_night_1018_blue_wsh_02 - 12of38,punching_floor,testbed
selfharm_night_1018_blue_wsh_02 - 13of38,punching_floor,testbed
normal_day_1018_blue_wsh - 32of60,normal,testbed
normal_day_1018_blue_wsh - 33of60,normal,testbed
normal_day_1018_blue_wsh - 34of60,normal,testbed
normal_day_1018_blue_wsh - 35of60,normal,testbed
normal_day_1018_blue_wsh - 36of60,normal,testbed
normal_day_1018_blue_wsh - 37of60,normal,testbed
normal_day_1018_blue_wsh - 38of60,normal,testbed
normal_day_1018_blue_wsh - 39of60,normal,testbed
normal_day_1018_blue_wsh - 40of60,normal,testbed
normal_day_1018_blue_wsh - 41of60,normal,testbed
normal_day_1018_blue_wsh - 42of60,normal,testbed
normal_day_1018_blue_wsh - 43of60,normal,testbed
normal_day_1018_blue_wsh - 44of60,normal,testbed
normal_day_1018_blue_wsh - 45of60,normal,testbed
normal_day_1018_blue_wsh - 46of60,normal,testbed
normal_night_1018_blue_wsh - 29of38,normal,testbed
normal_night_1018_blue_wsh - 30of38,normal,testbed
normal_night_1018_blue_wsh - 31of38,normal,testbed
normal_night_1018_blue_wsh - 32of38,normal,testbed
normal_day_1018_blue_wsh_02 - 32of60,normal,testbed
normal_day_1018_blue_wsh_02 - 33of60,normal,testbed
normal_day_1018_blue_wsh_02 - 34of60,normal,testbed
normal_day_1018_blue_wsh_02 - 35of60,normal,testbed
normal_day_1018_blue_wsh_02 - 36of60,normal,testbed
normal_day_1018_blue_wsh_02 - 37of60,normal,testbed
normal_day_1018_blue_wsh_02 - 38of60,normal,testbed
normal_day_1018_blue_wsh_02 - 39of60,normal,testbed
normal_day_1018_blue_wsh_02 - 40of60,normal,testbed
normal_day_1018_blue_wsh_02 - 41of60,normal,testbed
normal_day_1018_blue_wsh_02 - 42of60,normal,testbed
normal_day_1018_blue_wsh_02 - 43of60,normal,testbed
normal_day_1018_blue_wsh_02 - 44of60,normal,testbed
normal_day_1018_blue_wsh_02 - 45of60,normal,testbed
normal_day_1018_blue_wsh_02 - 46of60,normal,testbed
normal_night_1018_blue_wsh_02 - 29of38,normal,testbed
normal_night_1018_blue_wsh_02 - 30of38,normal,testbed
normal_night_1018_blue_wsh_02 - 31of38,normal,testbed
normal_night_1018_blue_wsh_02 - 32of38,normal,testbed
normal_day_1018_blue_wsh - 56of60,normal,testbed
normal_day_1018_blue_wsh - 57of60,normal,testbed
normal_day_1018_blue_wsh - 58of60,normal,testbed
normal_day_1018_blue_wsh - 59of60,normal,testbed
normal_day_1018_blue_wsh - 60of60,normal,testbed
normal_night_1018_blue_wsh - 19of38,normal,testbed
normal_night_1018_blue_wsh - 33of38,normal,testbed
normal_night_1018_blue_wsh - 34of38,normal,testbed
normal_night_1018_blue_wsh - 35of38,normal,testbed
normal_night_1018_blue_wsh - 36of38,normal,testbed
normal_night_1018_blue_wsh - 37of38,normal,testbed
normal_night_1018_blue_wsh - 38of38,normal,testbed
normal_day_1018_blue_wsh_02 - 56of60,normal,testbed
normal_day_1018_blue_wsh_02 - 57of60,normal,testbed
normal_day_1018_blue_wsh_02 - 58of60,normal,testbed
normal_day_1018_blue_wsh_02 - 59of60,normal,testbed
normal_day_1018_blue_wsh_02 - 60of60,normal,testbed
normal_night_1018_blue_wsh_02 - 19of38,normal,testbed
normal_night_1018_blue_wsh_02 - 33of38,normal,testbed
normal_night_1018_blue_wsh_02 - 34of38,normal,testbed
normal_night_1018_blue_wsh_02 - 35of38,normal,testbed
normal_night_1018_blue_wsh_02 - 36of38,normal,testbed
normal_night_1018_blue_wsh_02 - 37of38,normal,testbed
normal_night_1018_blue_wsh_02 - 38of38,normal,testbed
normal_day_1018_blue_wsh - 31of60,normal,testbed
normal_night_1018_blue_wsh - 24of38,normal,testbed
normal_night_1018_blue_wsh - 28of38,normal,testbed
normal_day_1018_blue_wsh_02 - 31of60,normal,testbed
normal_night_1018_blue_wsh_02 - 24of38,normal,testbed
normal_night_1018_blue_wsh_02 - 28of38,normal,testbed
normal_day_1018_blue_wsh - 47of60,normal,testbed
normal_day_1018_blue_wsh - 48of60,normal,testbed
normal_day_1018_blue_wsh - 49of60,normal,testbed
normal_day_1018_blue_wsh - 50of60,normal,testbed
normal_day_1018_blue_wsh - 51of60,normal,testbed
normal_day_1018_blue_wsh - 52of60,normal,testbed
normal_day_1018_blue_wsh - 53of60,normal,testbed
normal_day_1018_blue_wsh - 54of60,normal,testbed
normal_day_1018_blue_wsh - 55of60,normal,testbed
normal_day_1018_blue_wsh_02 - 47of60,normal,testbed
normal_day_1018_blue_wsh_02 - 48of60,normal,testbed
normal_day_1018_blue_wsh_02 - 49of60,normal,testbed
normal_day_1018_blue_wsh_02 - 50of60,normal,testbed
normal_day_1018_blue_wsh_02 - 51of60,normal,testbed
normal_day_1018_blue_wsh_02 - 52of60,normal,testbed
normal_day_1018_blue_wsh_02 - 53of60,normal,testbed
normal_day_1018_blue_wsh_02 - 54of60,normal,testbed
normal_day_1018_blue_wsh_02 - 55of60,normal,testbed
selfharm_day_0901_black_kny_01 - 46of60,scratching_neck,testbed
selfharm_day_0901_black_kny_01 - 47of60,scratching_neck,testbed
selfharm_day_0901_black_kny_01 - 48of60,scratching_neck,testbed
selfharm_day_0901_black_kny_01 - 49of60,scratching_neck,testbed
selfharm_day_0901_black_kny_01 - 50of60,scratching_neck,testbed
selfharm_night_0901_black_kny_01 - 46of60,scratching_neck,testbed
selfharm_night_0901_black_kny_01 - 47of60,scratching_neck,testbed
selfharm_night_0901_black_kny_01 - 48of60,scratching_neck,testbed
selfharm_night_0901_black_kny_01 - 49of60,scratching_neck,testbed
selfharm_night_0901_black_kny_01 - 50of60,scratching_neck,testbed
selfharm_day_0901_black_kny_02 - 46of60,scratching_neck,testbed
selfharm_day_0901_black_kny_02 - 47of60,scratching_neck,testbed
selfharm_day_0901_black_kny_02 - 48of60,scratching_neck,testbed
selfharm_day_0901_black_kny_02 - 49of60,scratching_neck,testbed
selfharm_day_0901_black_kny_02 - 50of60,scratching_neck,testbed
selfharm_night_0901_black_kny_02 - 46of60,scratching_neck,testbed
selfharm_night_0901_black_kny_02 - 47of60,scratching_neck,testbed
selfharm_night_0901_black_kny_02 - 48of60,scratching_neck,testbed
selfharm_night_0901_black_kny_02 - 49of60,scratching_neck,testbed
selfharm_night_0901_black_kny_02 - 50of60,scratching_neck,testbed
selfharm_day_0901_black_kny_01 - 41of60,scratching_arm,testbed
selfharm_day_0901_black_kny_01 - 42of60,scratching_arm,testbed
selfharm_day_0901_black_kny_01 - 43of60,scratching_arm,testbed
selfharm_day_0901_black_kny_01 - 44of60,scratching_arm,testbed
selfharm_day_0901_black_kny_01 - 45of60,scratching_arm,testbed
selfharm_night_0901_black_kny_01 - 41of60,scratching_arm,testbed
selfharm_night_0901_black_kny_01 - 42of60,scratching_arm,testbed
selfharm_night_0901_black_kny_01 - 43of60,scratching_arm,testbed
selfharm_night_0901_black_kny_01 - 44of60,scratching_arm,testbed
selfharm_night_0901_black_kny_01 - 45of60,scratching_arm,testbed
selfharm_day_0901_black_kny_02 - 41of60,scratching_arm,testbed
selfharm_day_0901_black_kny_02 - 42of60,scratching_arm,testbed
selfharm_day_0901_black_kny_02 - 43of60,scratching_arm,testbed
selfharm_day_0901_black_kny_02 - 44of60,scratching_arm,testbed
selfharm_day_0901_black_kny_02 - 45of60,scratching_arm,testbed
selfharm_night_0901_black_kny_02 - 41of60,scratching_arm,testbed
selfharm_night_0901_black_kny_02 - 42of60,scratching_arm,testbed
selfharm_night_0901_black_kny_02 - 43of60,scratching_arm,testbed
selfharm_night_0901_black_kny_02 - 44of60,scratching_arm,testbed
selfharm_night_0901_black_kny_02 - 45of60,scratching_arm,testbed
selfharm_day_0901_black_kny_01 - 11of60,choking_cloth,testbed
selfharm_day_0901_black_kny_01 - 12of60,choking_cloth,testbed
selfharm_day_0901_black_kny_01 - 13of60,choking_cloth,testbed
selfharm_day_0901_black_kny_01 - 14of60,choking_cloth,testbed
selfharm_day_0901_black_kny_01 - 15of60,choking_cloth,testbed
selfharm_night_0901_black_kny_01 - 11of60,choking_cloth,testbed
selfharm_night_0901_black_kny_01 - 12of60,choking_cloth,testbed
selfharm_night_0901_black_kny_01 - 13of60,choking_cloth,testbed
selfharm_night_0901_black_kny_01 - 14of60,choking_cloth,testbed
selfharm_night_0901_black_kny_01 - 15of60,choking_cloth,testbed
selfharm_day_0901_black_kny_02 - 11of60,choking_cloth,testbed
selfharm_day_0901_black_kny_02 - 12of60,choking_cloth,testbed
selfharm_day_0901_black_kny_02 - 13of60,choking_cloth,testbed
selfharm_day_0901_black_kny_02 - 14of60,choking_cloth,testbed
selfharm_day_0901_black_kny_02 - 15of60,choking_cloth,testbed
selfharm_night_0901_black_kny_02 - 11of60,choking_cloth,testbed
selfharm_night_0901_black_kny_02 - 12of60,choking_cloth,testbed
selfharm_night_0901_black_kny_02 - 13of60,choking_cloth,testbed
selfharm_night_0901_black_kny_02 - 14of60,choking_cloth,testbed
selfharm_night_0901_black_kny_02 - 15of60,choking_cloth,testbed
selfharm_day_0901_black_kny_01 - 21of60,kicking_wall,testbed
selfharm_day_0901_black_kny_01 - 22of60,kicking_wall,testbed
selfharm_day_0901_black_kny_01 - 23of60,kicking_wall,testbed
selfharm_day_0901_black_kny_01 - 24of60,kicking_wall,testbed
selfharm_day_0901_black_kny_01 - 25of60,kicking_wall,testbed
selfharm_night_0901_black_kny_01 - 21of60,kicking_wall,testbed
selfharm_night_0901_black_kny_01 - 22of60,kicking_wall,testbed
selfharm_night_0901_black_kny_01 - 23of60,kicking_wall,testbed
selfharm_night_0901_black_kny_01 - 24of60,kicking_wall,testbed
selfharm_night_0901_black_kny_01 - 25of60,kicking_wall,testbed
selfharm_day_0901_black_kny_02 - 21of60,kicking_wall,testbed
selfharm_day_0901_black_kny_02 - 22of60,kicking_wall,testbed
selfharm_day_0901_black_kny_02 - 23of60,kicking_wall,testbed
selfharm_day_0901_black_kny_02 - 24of60,kicking_wall,testbed
selfharm_day_0901_black_kny_02 - 25of60,kicking_wall,testbed
selfharm_night_0901_black_kny_02 - 21of60,kicking_wall,testbed
selfharm_night_0901_black_kny_02 - 22of60,kicking_wall,testbed
selfharm_night_0901_black_kny_02 - 23of60,kicking_wall,testbed
selfharm_night_0901_black_kny_02 - 24of60,kicking_wall,testbed
selfharm_night_0901_black_kny_02 - 25of60,kicking_wall,testbed
selfharm_day_0901_black_kny_01 - 36of60,punching_wall,testbed
selfharm_day_0901_black_kny_01 - 37of60,punching_wall,testbed
selfharm_day_0901_black_kny_01 - 38of60,punching_wall,testbed
selfharm_day_0901_black_kny_01 - 39of60,punching_wall,testbed
selfharm_day_0901_black_kny_01 - 40of60,punching_wall,testbed
selfharm_night_0901_black_kny_01 - 36of60,punching_wall,testbed
selfharm_night_0901_black_kny_01 - 37of60,punching_wall,testbed
selfharm_night_0901_black_kny_01 - 38of60,punching_wall,testbed
selfharm_night_0901_black_kny_01 - 39of60,punching_wall,testbed
selfharm_night_0901_black_kny_01 - 40of60,punching_wall,testbed
selfharm_day_0901_black_kny_02 - 36of60,punching_wall,testbed
selfharm_day_0901_black_kny_02 - 37of60,punching_wall,testbed
selfharm_day_0901_black_kny_02 - 38of60,punching_wall,testbed
selfharm_day_0901_black_kny_02 - 39of60,punching_wall,testbed
selfharm_day_0901_black_kny_02 - 40of60,punching_wall,testbed
selfharm_night_0901_black_kny_02 - 36of60,punching_wall,testbed
selfharm_night_0901_black_kny_02 - 37of60,punching_wall,testbed
selfharm_night_0901_black_kny_02 - 38of60,punching_wall,testbed
selfharm_night_0901_black_kny_02 - 39of60,punching_wall,testbed
selfharm_night_0901_black_kny_02 - 40of60,punching_wall,testbed
selfharm_day_0901_black_kny_01 - 26of60,hittingbody,testbed
selfharm_day_0901_black_kny_01 - 27of60,hittingbody,testbed
selfharm_day_0901_black_kny_01 - 28of60,hittingbody,testbed
selfharm_day_0901_black_kny_01 - 29of60,hittingbody,testbed
selfharm_day_0901_black_kny_01 - 30of60,hittingbody,testbed
selfharm_night_0901_black_kny_01 - 26of60,hittingbody,testbed
selfharm_night_0901_black_kny_01 - 27of60,hittingbody,testbed
selfharm_night_0901_black_kny_01 - 28of60,hittingbody,testbed
selfharm_night_0901_black_kny_01 - 29of60,hittingbody,testbed
selfharm_night_0901_black_kny_01 - 30of60,hittingbody,testbed
selfharm_day_0901_black_kny_02 - 26of60,hittingbody,testbed
selfharm_day_0901_black_kny_02 - 27of60,hittingbody,testbed
selfharm_day_0901_black_kny_02 - 28of60,hittingbody,testbed
selfharm_day_0901_black_kny_02 - 29of60,hittingbody,testbed
selfharm_day_0901_black_kny_02 - 30of60,hittingbody,testbed
selfharm_night_0901_black_kny_02 - 26of60,hittingbody,testbed
selfharm_night_0901_black_kny_02 - 27of60,hittingbody,testbed
selfharm_night_0901_black_kny_02 - 28of60,hittingbody,testbed
selfharm_night_0901_black_kny_02 - 29of60,hittingbody,testbed
selfharm_night_0901_black_kny_02 - 30of60,hittingbody,testbed
selfharm_day_0901_black_kny_01 - 51of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_01 - 52of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_01 - 53of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_01 - 54of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_01 - 55of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_01 - 51of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_01 - 52of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_01 - 53of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_01 - 54of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_01 - 55of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_02 - 51of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_02 - 52of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_02 - 53of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_02 - 54of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_02 - 55of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_02 - 51of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_02 - 52of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_02 - 53of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_02 - 54of60,selfharm_tool,testbed
selfharm_night_0901_black_kny_02 - 55of60,selfharm_tool,testbed
selfharm_day_0901_black_kny_01 - 16of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_01 - 17of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_01 - 18of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_01 - 19of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_01 - 20of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_01 - 16of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_01 - 17of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_01 - 18of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_01 - 19of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_01 - 20of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_02 - 16of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_02 - 17of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_02 - 18of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_02 - 19of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_02 - 20of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_02 - 16of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_02 - 17of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_02 - 18of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_02 - 19of60,hittinghead_floor,testbed
selfharm_night_0901_black_kny_02 - 20of60,hittinghead_floor,testbed
selfharm_day_0901_black_kny_01 - 56of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_01 - 57of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_01 - 58of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_01 - 59of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_01 - 60of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_01 - 56of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_01 - 57of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_01 - 58of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_01 - 59of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_01 - 60of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_02 - 56of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_02 - 57of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_02 - 58of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_02 - 59of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_02 - 60of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_02 - 56of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_02 - 57of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_02 - 58of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_02 - 59of60,hittinghead_wall,testbed
selfharm_night_0901_black_kny_02 - 60of60,hittinghead_wall,testbed
selfharm_day_0901_black_kny_01 - 31of60,punching_floor,testbed
selfharm_day_0901_black_kny_01 - 32of60,punching_floor,testbed
selfharm_day_0901_black_kny_01 - 33of60,punching_floor,testbed
selfharm_day_0901_black_kny_01 - 34of60,punching_floor,testbed
selfharm_day_0901_black_kny_01 - 35of60,punching_floor,testbed
selfharm_night_0901_black_kny_01 - 31of60,punching_floor,testbed
selfharm_night_0901_black_kny_01 - 32of60,punching_floor,testbed
selfharm_night_0901_black_kny_01 - 33of60,punching_floor,testbed
selfharm_night_0901_black_kny_01 - 34of60,punching_floor,testbed
selfharm_night_0901_black_kny_01 - 35of60,punching_floor,testbed
selfharm_day_0901_black_kny_02 - 31of60,punching_floor,testbed
selfharm_day_0901_black_kny_02 - 32of60,punching_floor,testbed
selfharm_day_0901_black_kny_02 - 33of60,punching_floor,testbed
selfharm_day_0901_black_kny_02 - 34of60,punching_floor,testbed
selfharm_day_0901_black_kny_02 - 35of60,punching_floor,testbed
selfharm_night_0901_black_kny_02 - 31of60,punching_floor,testbed
selfharm_night_0901_black_kny_02 - 32of60,punching_floor,testbed
selfharm_night_0901_black_kny_02 - 33of60,punching_floor,testbed
selfharm_night_0901_black_kny_02 - 34of60,punching_floor,testbed
selfharm_night_0901_black_kny_02 - 35of60,punching_floor,testbed
selfharm_day_0901_black_kny_01 - 6of60,choking_hand,testbed
selfharm_day_0901_black_kny_01 - 7of60,choking_hand,testbed
selfharm_day_0901_black_kny_01 - 8of60,choking_hand,testbed
selfharm_day_0901_black_kny_01 - 9of60,choking_hand,testbed
selfharm_day_0901_black_kny_01 - 10of60,choking_hand,testbed
selfharm_night_0901_black_kny_01 - 6of60,choking_hand,testbed
selfharm_night_0901_black_kny_01 - 7of60,choking_hand,testbed
selfharm_night_0901_black_kny_01 - 8of60,choking_hand,testbed
selfharm_night_0901_black_kny_01 - 9of60,choking_hand,testbed
selfharm_night_0901_black_kny_01 - 10of60,choking_hand,testbed
selfharm_day_0901_black_kny_02 - 6of60,choking_hand,testbed
selfharm_day_0901_black_kny_02 - 7of60,choking_hand,testbed
selfharm_day_0901_black_kny_02 - 8of60,choking_hand,testbed
selfharm_day_0901_black_kny_02 - 9of60,choking_hand,testbed
selfharm_day_0901_black_kny_02 - 10of60,choking_hand,testbed
selfharm_night_0901_black_kny_02 - 6of60,choking_hand,testbed
selfharm_night_0901_black_kny_02 - 7of60,choking_hand,testbed
selfharm_night_0901_black_kny_02 - 8of60,choking_hand,testbed
selfharm_night_0901_black_kny_02 - 9of60,choking_hand,testbed
selfharm_night_0901_black_kny_02 - 10of60,choking_hand,testbed
selfharm_day_0901_black_kny_01 - 1of60,biting,testbed
selfharm_day_0901_black_kny_01 - 2of60,biting,testbed
selfharm_day_0901_black_kny_01 - 3of60,biting,testbed
selfharm_day_0901_black_kny_01 - 4of60,biting,testbed
selfharm_day_0901_black_kny_01 - 5of60,biting,testbed
selfharm_night_0901_black_kny_01 - 1of60,biting,testbed
